

        Prob |      n | método |    it |         f |     grad | st |
====================================================================
-------------|--------|--------|-------|-----------|----------|----|
       AKIVA |      2 |   grad |     1 |      -Inf |      NaN |  1 |
             |        |    spg |    55 |  6.17e+00 | 7.35e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    ALLINITU |      4 |   grad |   294 |  5.74e+00 | 9.90e-07 |  0 |
             |        |    spg |    15 |  5.74e+00 | 1.98e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     ARGLINA |    200 |   grad |     1 |  2.00e+02 | 4.94e-14 |  0 |
             |        |    spg |     2 |  2.00e+02 | 6.85e-14 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   ARGTRIGLS |    200 |   grad | 10000 |  5.89e-06 | 9.98e-03 |  1 |
             |        |    spg |  7185 |  6.59e-15 | 5.91e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     BA-L1LS |     57 |   grad |    52 |  1.62e-19 | 3.73e-07 |  0 |
             |        |    spg |    38 |  3.51e-20 | 2.85e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   BA-L1SPLS |     57 |   grad |    99 |  3.84e-19 | 6.47e-07 |  0 |
             |        |    spg |    90 |  9.61e-19 | 3.17e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
        BARD |      3 |   grad |  7387 |  8.21e-03 | 9.87e-07 |  0 |
             |        |    spg |    92 |  8.21e-03 | 1.40e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       BEALE |      2 |   grad |   791 |  1.22e-12 | 8.25e-07 |  0 |
             |        |    spg |    45 |  3.48e-16 | 1.70e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  BENNETT5LS |      3 |   grad |     1 |       NaN |      NaN |  1 |
             |        |    spg |    70 |  5.39e-04 | 6.73e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      BIGGS6 |      6 |   grad | 10000 |  7.80e-03 | 1.29e-03 |  1 |
             |        |    spg |   586 |  5.66e-03 | 2.74e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
        BOX3 |      3 |   grad |  6726 |  5.59e-10 | 9.99e-07 |  0 |
             |        |    spg |    37 |  6.73e-12 | 1.15e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    BOXBODLS |      2 |   grad | 10000 |  9.77e+03 | 6.14e-06 |  1 |
             |        |    spg |     4 |  9.77e+03 | 0.00e+00 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      BRKMCC |      2 |   grad |   170 |  1.69e-01 | 9.27e-07 |  0 |
             |        |    spg |     9 |  1.69e-01 | 2.00e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     BROWNAL |    200 |   grad |  9075 |  1.47e-09 | 9.92e-07 |  0 |
             |        |    spg |   171 |  1.31e-09 | 9.07e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     BROWNBS |      2 |   grad | 10000 |  2.50e+11 | 1.23e+06 |  1 |
             |        |    spg |    20 |  8.67e-19 | 1.86e-09 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    BROWNDEN |      4 |   grad | 10000 |  8.58e+04 | 7.02e-04 |  1 |
