Instâncias da TSPLIB ordenadas pelo número de cidades.

     │ Problema  n
─────┼─────────────────
   1 │ eil51     51
   2 │ berlin52  52
   3 │ st70      70
   4 │ eil76     76
   5 │ pr76      76
   6 │ rat99     99
   7 │ kroA100   100
   8 │ kroB100   100
   9 │ kroC100   100
  10 │ kroD100   100
  11 │ kroE100   100
  12 │ rd100     100
  13 │ eil101    101
  14 │ lin105    105
  15 │ pr107     107
  16 │ pr124     124
  17 │ bier127   127
  18 │ ch130     130
  19 │ pr136     136
  20 │ pr144     144
  21 │ ch150     150
  22 │ kroA150   150
  23 │ kroB150   150
  24 │ pr152     152
  25 │ u159      159
  26 │ rat195    195
  27 │ d198      198
  28 │ kroA200   200
  29 │ kroB200   200
  30 │ ts225     225
  31 │ tsp225    225
  32 │ pr226     226
  33 │ gil262    262
  34 │ pr264     264
  35 │ a280      280
  36 │ pr299     299
  37 │ lin318    318
  38 │ linhp318  318
  39 │ rd400     400
  40 │ fl417     417
  41 │ pr439     439
  42 │ pcb442    442
  43 │ d493      493
  44 │ u574      574
  45 │ rat575    575
  46 │ p654      654
  47 │ d657      657
  48 │ u724      724
  49 │ rat783    783
  50 │ pr1002    1002
  51 │ u1060     1060
  52 │ vm1084    1084
  53 │ pcb1173   1173
  54 │ d1291     1291
  55 │ rl1304    1304
  56 │ rl1323    1323
  57 │ nrw1379   1379
  58 │ fl1400    1400
  59 │ u1432     1432
  60 │ fl1577    1577
  61 │ d1655     1655
  62 │ vm1748    1748
  63 │ u1817     1817
  64 │ rl1889    1889
  65 │ d2103     2103
  66 │ u2152     2152
  67 │ u2319     2319
  68 │ pr2392    2392
  69 │ pcb3038   3038
  70 │ fl3795    3795
  71 │ fnl4461   4461
  72 │ rl5915    5915
  73 │ rl5934    5934
  74 │ rl11849   11849
  75 │ usa13509  13509
  76 │ brd14051  14051
  77 │ d15112    15112
  78 │ d18512    18512
